"","Acaena.argentea","Acaena.macrocephala","Acaena.magellanica","Acaena.ovalifolia","Acaena.pinnatifida","Acaena.splendens","Adenocaulon.chilense","Adiantum.chilense","Agrostis.capillaris","Agrostis.sp.","Aira.caryophyllea","Alstroemeria.aurea","Anarthrophyllum.desideratum","Anemonastrum.antucense","Anemone.multifida","Arachnitis.uniflora","Arenaria.serpyllifolia","Aristotelia.chilensis","Asplenium.dareoides","Austroblechnum.penna.marina","Austrocedrus.chilensis","Austrolycopodium.magellanicum","Avena.strigosa","Azara.lanceolata","Azara.microphylla","Azorella.prolifera","Baccharis.elaeoides","Baccharis.linearis","Baccharis.magellanica","Baccharis.neaei","Baccharis.obovata","Baccharis.racemosa","Baccharis.salicifolia","Balbisia.gracilis","Belloa.nivea","Berberis.darwinii","Berberis.empetrifolia","Berberis.microphylla","Berberis.serratodentata","Berberis.trigona","Blechnum.hastatum","Blumenbachia.sylvestris","Boquila.trifoliolata","Brachystele.unilateralis","Bromus.catharticus","Bromus.coloratus","Bromus.tectorum","Buddleja.globosa","Calceolaria.biflora","Calceolaria.crenatiflora","Calceolaria.polyrrhiza","Calceolaria.sp.","Carex.aphylla","Carex.banksii","Carex.negeri","Carex.patagonica","Carex.phleoides","Carex.salticola","Carex.scabrida","Cerastium.arvense","Cheilanthes.glauca","Chiliotrichum.diffusum","Chloraea.magellanica","Chrysosplenium.valdivicum","Chusquea.culeou","Cirsium.vulgare","Claytonia.perfoliata","Codonorchis.lessonii","Colletia.hystrix","Collomia.biflora","Conyza.sp.","Coprosma.granadensis","Coriandrum.sativum","Crepis.capillaris","Cystopteris.apiiformis","Dactylis.glomerata","Deschampsia.elongata","Desfontainia.spinosa","Digitalis.purpurea","Diostea.juncea","Diplolepis.biflora","Diplolepis.diemii","Diplolepis.pachyphylla","Discaria.articulata","Discaria.chacaye","Draba.gilliesii","Drimys.andina","Eccremocarpus.scaber","Elymus.angulatus","Elymus.patagonicus","Embothrium.coccineum","Empetrum.rubrum","Equisetum.bogotense","Erigeron.andicola","Erodium.cicutarium","Eryngium.paniculatum","Escallonia.alpina","Escallonia.rubra","Eucryphia.cordifolia","Euphorbia.collina","Euphrasia.trifida","Fabiana.imbricata","Festuca.acanthophylla","Festuca.myuros","Festuca.pallescens","Festuca.purpurascens","Festuca.rubra","Fitzroya.cupressoides","Fragaria.chiloensis","Fuchsia.magellanica","Galium.aparine","Galium.fuegianum","Galium.hypocarpium","Galium.richardianum","Gamochaeta.alpina","Gaultheria.caespitosa","Gaultheria.mucronata","Gaultheria.phillyreifolia","Gaultheria.pumila","Gavilea.lutea","Gavilea.odoratissima","Geranium.magellanicum","Geranium.molle","Geum.magellanicum","Graphephorum.cernuum","Grindelia.prunelloides","Haplopappus.glutinosus","Hieracium.patagonicum","Holcus.lanatus","Hordeum.comosum","Hordeum.sp.","Hymenophyllum.sp.","Hypericum.perforatum","Hypochaeris.radicata","Isolepis.ranko","Koeleria.permollis","Lagenophora.hariotii","Lathyrus.sp.","Laureliopsis.philippiana","Leucheria.glacialis","Lomariocycas.magellanica","Lomariocycas.obtusifolia","Lomatia.hirsuta","Luzuriaga.marginata","Macrachaenium.gracile","Madia.sativa","Maytenus.boaria","Maytenus.chubutensis","Maytenus.disticha","Maytenus.magellanica","Microsteris.gracilis","Misodendrum.brachystachyum","Misodendrum.linearifolium","Misodendrum.oblongifolium","Misodendrum.punctulatum","Mitraria.coccinea","Mutisia.decurrens","Mutisia.spinosa","Myoschilos.oblongum","Myrceugenia.exsucca","Nassella.poeppigiana","NN.annual","NN.grass1","Nothofagus.antarctica","Nothofagus.dombeyi","Nothofagus.pumilio","Ochetophila.nana","Oenothera.odorata","Osmorhiza.berteroi","Ourisia.ruellioides","Ovidia.andina","Pappostipa.speciosa","Perezia.bellidifolia","Perezia.fonkii","Perezia.prenanthoides","Phacelia.secunda","Pinnasa.bergii","Pinus.contorta","Pinus.radiata","Plantago.lanceolata","Poa.alopecurus","Poa.annua","Poa.ligularis","Poa.pratensis","Poa.sp.","Polystichum.plicatum","Prunella.vulgaris","Prunus.avium","Pseudotsuga.menziesii","Quinchamalium.chilense","Ranunculus.saxifragifolius","Ranunculus.sp.","Raukaua.laetevirens","Relchela.panicoides","Rhaphithamnus.spinosus","Ribes.cucullatum","Ribes.densiflorum","Ribes.magellanicum","Rosa.rubiginosa","Rubus.geoides","Rumex.acetosella","Rumohra.adiantiformis","Sanicula.graveolens","Saxegothaea.conspicua","Schinus.patagonica","Senecio.argyreus","Senecio.bracteolatus","Senecio.chilensis","Senecio.filaginoides","Senecio.hieracium","Senecio.otites","Senecio.poeppigii","Senecio.sp.","Senecio.subumbellatus","Senecio.tricuspidatus","Senecio.trifurcatus","Silene.andicola","Sisyrinchium.arenarium","Sisyrinchium.patagonicum","Solenomelus.segethii","Solidago.argentinensis","Solidago.chilensis","Stellaria.arvalis","Stellaria.media","Taraxacum.officinale","Trifolium.dubium","Trifolium.repens","Trisetum.caudulatum","Valeriana.carnosa","Valeriana.lapathifolia","Valeriana.laxiflora","Valeriana.virescens","Verbascum.thapsus","Veronica.arvensis","Veronica.serpyllifolia","Vicia.bijuga","Vicia.nigricans","Viola.maculata","Viola.magellanica","Viola.sp.","Weinmannia.trichosperma","Calceolaria.filicaulis","Cardamine.vulgaris","Crataegus.monogyna","Diplolepis.descolei","Dysopsis.glechomoides","Gunnera.magellanica","Lathyrus.magellanicus","Misodendrum.spp.","Myrteola.nummularia","Nassela.poeppiggiana","Poa.tristigmatica","Senecio.subpubescens","Sorbus.aucuparia","Viola.reichei","Acer.pseudoplatanus","Amomyrtus.luma","Archidasyphyllum.diacanthoides","Arenaria.serpens","Campsidium.valdivianum","Cardamine.spp.","Carex.magellanica","Carex.vixdentata","Cytisus.scoparius","Eleocharis.macrostachya","Epilobium.austale","Erigeron.imbricatus","Escallonia.virgata","Festuca.spp.","Gaultheria.antartica","Gunnera.tinctoria","Hydrocotyle.spp.","Hymenophyllum.spec","Hymenophyllum.spp.","Juncus.articulatus","Juncus.effusus","Lomariocycas.cycadifolia","Lomatia.ferruginea","Luma.apiculata","Luzuriaga.radicans","Marsippospermum.grandiflorum","Misodendrum.punctalatum","Pilgerodendron.uviferum","Pinus.spp.","Polypogon.australis","Ranunculus.spp.","Senecio.spp.","Trisetum.spp."
"T1S1N1500",0,0,0,5.4,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,40,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S1N1600",0,0,0,0.7,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.7,0,1.3,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S1S0500",0,0,0,6.4,0,0,0,1.9,0,0,0,20,0,0,0,0,0,25,2.5,19,1.3,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0.1,0,6,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,2,0,0,0,0,2.7,0,0.1,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0.1,0.3,0,20,0,0,0,1,0,0,0,0,0,0,0,0,2.3,0,0,0.5,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.4,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1.5,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S1S0600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,30,0.1,0.1,5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S1S0700",0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.4,0.1,0.4,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.4,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2.3,0,5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S1S0800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S1S0900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S1S1000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S1S1100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,3.8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S1S1200",0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,30,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S1S1300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,6,12,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S1S1400",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,7.1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S2N0700",0,0,0,0,0.2,0,0,0,0,0,5.5,10,0,0,0.1,0,0,6,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,2.5,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1.5,3.5,0,0,0,0,0,0,0,0,0,12,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.3,25,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3,0,0,0,0,0,0,0,0,0,0,20,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S2N0800",0,0,0,0,0.7,0,0,0,0.6,0,0,2,0,0,2.1,0,0,1,0,0,45,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0.6,0,0,0,0,0,0,0,30,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0.1,0,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,4,0,0.4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3.5,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S2N0900",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,15,0,0.8,30,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S2N1000",0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.5,0,0,0,0,0,10,0,0,0,0,16,0,0,9.5,0,0.5,0,0,0,0,0,0,2.4,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,1.1,0,0,4.7,0,0,0,0,0,0,0,0,0,4.5,1.1,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,5,0,0,0,20,8.5,0,0,0,0,0,0,0,0,0.7,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1S2N1100",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,50,0.2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
